spec_id,doc,section,requirement,status
SPEC-LINT/self-test,internal/spec,self-test,bootstrap requirement covered by linter unit tests,required
OMA-WBXML-1.3/header.version,OMA-WBXML-1.3,§5.4,WBXML version byte is 0x03 for WBXML 1.3,required
OMA-WBXML-1.3/header.publicid,OMA-WBXML-1.3,§5.4,WBXML publicid is encoded as mb_u_int32 or as 0 followed by STR_T offset,required
OMA-WBXML-1.3/header.charset,OMA-WBXML-1.3,§5.4,WBXML charset is encoded as mb_u_int32 IANA MIBenum (106 = UTF-8),required
OMA-WBXML-1.3/header.stringtable,OMA-WBXML-1.3,§5.4,WBXML string-table is mb_u_int32 length followed by raw bytes,required
OMA-WBXML-1.3/mb_u_int32.encoding,OMA-WBXML-1.3,§5.1,mb_u_int32 is big-endian 7-bit groups with continuation bit 0x80,required
OMA-WBXML-1.3/mb_u_int32.boundaries,OMA-WBXML-1.3,§5.1,"mb_u_int32 round-trip boundaries 0; 0x7F; 0x80; 0x3FFF; 0x4000; 0x1FFFFF; 0xFFFFFFFF",required
OMA-WBXML-1.3/global.SWITCH_PAGE,OMA-WBXML-1.3,§5.5,SWITCH_PAGE token = 0x00 followed by 1 byte page index,required
OMA-WBXML-1.3/global.END,OMA-WBXML-1.3,§5.5,END token = 0x01 closes the most recent open element,required
OMA-WBXML-1.3/global.STR_I,OMA-WBXML-1.3,§5.5,STR_I token = 0x03 followed by NUL-terminated UTF-8 string,required
OMA-WBXML-1.3/global.STR_T,OMA-WBXML-1.3,§5.5,STR_T token = 0x83 followed by mb_u_int32 string-table offset,required
OMA-WBXML-1.3/global.OPAQUE,OMA-WBXML-1.3,§5.5,OPAQUE token = 0xC3 followed by mb_u_int32 length and that many raw bytes,required
OMA-WBXML-1.3/tag.bits,OMA-WBXML-1.3,§5.8.4.2,tag byte bit7 = has content; bit6 = has attributes; bits0-5 = tag identity within the active code page,required
MS-ASWBXML/codepage.0.AirSync,MS-ASWBXML,§2.1.2.1.1,Code page 0 carries AirSync element tags including Sync,required
MS-ASWBXML/codepage.1.Contacts,MS-ASWBXML,§2.1.2.1.2,Code page 1 carries Contacts element tags including FirstName/LastName/Email1Address,required
MS-ASWBXML/codepage.2.Email,MS-ASWBXML,§2.1.2.1.3,Code page 2 carries Email element tags including Subject/From/To/DateReceived,required
MS-ASWBXML/codepage.3.AirNotify,MS-ASWBXML,§2.1.2.1.4,Code page 3 (AirNotify) reserved for legacy compatibility,required
MS-ASWBXML/codepage.4.Calendar,MS-ASWBXML,§2.1.2.1.5,Code page 4 carries Calendar element tags including StartTime/EndTime/Subject,required
MS-ASWBXML/codepage.5.Move,MS-ASWBXML,§2.1.2.1.6,Code page 5 carries MoveItems element tags,required
MS-ASWBXML/codepage.6.GetItemEstimate,MS-ASWBXML,§2.1.2.1.7,Code page 6 carries GetItemEstimate element tags,required
